course_id,course_title,primary_instructor,average_grade
BADM 446,Entrep: New Venture Creation,"Roach, Michael",3.84
BADM 449,Business Policy and Strategy,"Chattopadhyay, Shinjinee",3.62
BADM 449,Business Policy and Strategy,"Chung, Hyuck D",3.73
BADM 449,Business Policy and Strategy,"Guo, Min",3.84
BADM 449,Business Policy and Strategy,"Inoue, Carlos",3.68
BADM 449,Business Policy and Strategy,"Isakova, Valerie",3.62
BADM 449,Business Policy and Strategy,"Kim, June-Young",3.51
BADM 449,Business Policy and Strategy,"Mahoney, Joseph T",3.66
BADM 449,Business Policy and Strategy,"Martinez, Candace A",3.78
BADM 449,Business Policy and Strategy,"Pedraza Novak, Daniela",3.48
BADM 449,Business Policy and Strategy,"Rha, Young Sir",3.73
BADM 449,Business Policy and Strategy,"Wang, Xin",3.76
BADM 453,Business Intelligence,"Bahrini, Aram",3.96
BADM 453,Business Intelligence,"Ivanov, Anton",3.92
BADM 453,Business Intelligence,"Nelson, Matthew L",3.83
BADM 460,Business Process Modeling,"Moshref Javadi, Mohammad",3.8
BADM 461,"Tech, Eng, & Mgt Final Project","Sakhartov, Arkadiy V",
BADM 463,iVenture Accelerator Sem I,"Kourpas, Elias",
BADM 502,Communicating with Data,"Larson, Eric",3.84
BADM 508,Leadership and Teams,"Keating, Kari H",3.72
BADM 508,Leadership and Teams,"Kraatz, Matthew S",3.44
BADM 508,Leadership and Teams,"Loewenstein, Jeffrey",3.28
BADM 508,Leadership and Teams,"Luckman, Elizabeth",3.77
BADM 509,Managing Organizations,"Bednar, Michael K",3.78
BADM 510,Founds of Organizational Behav,"Ocasio, William C",
BADM 513,Communication Strategy in Bus,"Winter, Gretchen A",3.66
BADM 514,Managing Innovation,"Takeda, Yusaku",3.94
BADM 520,Marketing Management,"Noel, Hayden N",3.87
BADM 520,Marketing Management,"Raquel, Steve A",3.95
BADM 523,Dig Transformation in Cons Beh,"Lim, Sarah",
BADM 524,Pricing Strategy and Analytics,"Liu, Yunchuan",3.72
BADM 525,New Product Development,"Noel, Hayden N",3.88
BADM 526,Cons Analytics: Theory & Pract,"Bao, Ying",3.85
BADM 527,Brand Management,"Smith, Rosanna K",3.68
BADM 539,Math Models in Marketing,"Liu, Yunchuan",
BADM 541,Foundations of Strategic Mgmt,"Kim, June-Young",
BADM 543,Technology Strategy,"Roach, Michael",3.71
BADM 544,Strategic Management,"Somaya, Deepak",3.72
BADM 546,Entre & Innov I,"Shah, Sonali K",
BADM 546,Entre & Innov II,"Shah, Sonali K",
BADM 549,Economic Foundations of Strat,"Mahoney, Joseph T",
BADM 550,Business Practicum,"Khandelwal, Ashish",3.9
BADM 550,Business Practicum,"Kim, June-Young",3.96
BADM 550,Business Practicum,"Kurtz, Jeffrey M",3.93
BADM 550,Business Practicum,"Noonan, James R",3.92
BADM 551,Managing Intellectual Property,"Bradley, Joe A",3.99
BADM 554,Enterprise Database Management,"Sachdev, Vishal",3.4
BADM 555,Info Sys Development and Mgt,"Haran, Vidya",3.81
BADM 557,Topics in Bus Intelligence,"Bahrini, Aram",3.91
BADM 557,Topics in Bus Intelligence,"Subramanyam, Ramanath",3.7
BADM 558,Big Data Infrastructures,"Khandelwal, Ashish",3.92
BADM 562,Social Media Strategy,"Ivanov, Anton",3.87
BADM 566,Supply Chain Management,"Mukherjee, Ujjal K",
BADM 567,Operations Management,"Anand, Gopesh J",3.86
BADM 567,Operations Management,"Baddam, Swathi Reddy",3.7
BADM 569,Research Topics in OM,"Mehrotra, Mili",
BADM 572,Stat for Mgt Decision Making,"Taghaboni-Dutta, Fataneh",3.51
BADM 573,Decision Analytics,"Kwon, Hyok-Jon D",3.85
BADM 575,Supply Chain Analytics,"Mukherjee, Ujjal K",
BADM 576,Data Science and Analytics,"Khandelwal, Ashish",3.85
BADM 582,Multinational Management,"Feng, Yilang",3.58
BADM 583,Global Supply Chain Mgmt,"Clougherty, Joseph A",3.67
BADM 584,Global Marketing,"Euh, Hyun",3.97
BADM 588,Business Practice Immersion,"Noonan, James R",3.97
BADM 589,Project Management,"Kirci, Ismail",3.64
BADM 589,Project Management,"Taghaboni-Dutta, Fataneh",3.71
BADM 590,Analytics for Mgmt DecisionMkg,"Khandelwal, Ashish",3.84
BADM 590,Entrepreneurship,"Sullivan, Nancy A",3.71
BADM 590,Healthcare Process Mgmt,"Seshadri, Sridhar",3.92
BADM 590,Marketing Analytics,"Narang, Unnati",3.63
BADM 590,Politics of International Bus,"Bucheli, Marcelo",
BADM 590,Professional Pathways in Bus,"Pachera, Susan",
BADM 590,UI/UX Design,"Haran, Vidya",3.78
CMN 101,Public Speaking,"Alberti, George L",3.77
CMN 101,Public Speaking,"Allegretti, Anne E",3.69
CMN 101,Public Speaking,"Armour, Lydia L",3.49
CMN 101,Public Speaking,"Balester, Nathan",3.05
CMN 101,Public Speaking,"Bishop, Mardia J",3.7
CMN 101,Public Speaking,"Boelkow, Meghan M",3.58
CMN 101,Public Speaking,"Bunch, Caroline M",3.49
CMN 101,Public Speaking,"Choudhry, Bisma N",3.77
CMN 101,Public Speaking,"Faussane, Eleanor",2.88
CMN 101,Public Speaking,"Fung, Kaya S",3.6
CMN 101,Public Speaking,"Gailey, Benjamin J",3.81
CMN 101,Public Speaking,"Gallo, Franklin",3.17
CMN 101,Public Speaking,"Ho, Frances",3.52
CMN 101,Public Speaking,"Humphreys, Lea M",3.58
CMN 101,Public Speaking,"Johnson, Lauren P",3.49
CMN 101,Public Speaking,"Kierspe, Kevin R",3.72
CMN 101,Public Speaking,"Lahmon, Teri T",3.66
CMN 101,Public Speaking,"Mulvaney, Adan",3.56
